Country,Region,City/Town,Shop Name,Website,Email,Business Address,Phone,Notes,TripAdvisor Rating,TripAdvisor Reviews,TripAdvisor URL,Google Maps URL,Google Snapshot Rating,Google Snapshot Reviews,Google Snapshot (UTC),Last Checked (UTC)
France,Provence-Alpes-Côte d'Azur,Mandelieu-La Napoule,La Cigale Plongée,https://www.lacigale-plongee.com,info@lacigale-plongee.com,"Avenue Henry Clews, Port La Napoule, 06210 Mandelieu-La Napoule, France",+33 6 29 09 87 92,Centre de plongée; explicitly scuba,,,https://www.tripadvisor.fr/Attraction_Review-g187230-d4749751-Reviews-La_Cigale_Plongee-Mandelieu_la_Napoule_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=La+Cigale+Plong%C3%A9e+Mandelieu-La+Napoule+France,,,,2025-08-19 23:02:46Z
France,Provence-Alpes-Côte d'Azur,Marseille (Bouches-du-Rhône),DUNE Marseille,https://france.dune-world.com/en/mrs/contact,marseille@dune-world.com,"7 Port de la Pointe Rouge, 13008 Marseille",,Large scuba center; FFESSM/PADI 5* IDC; courses & boat dives,,,https://fr.tripadvisor.ch/Attraction_Review-g187253-d6403598-Reviews-DUNE_Marseille-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=DUNE+Marseille+Marseille+%28Bouches-du-Rh%C3%B4ne%29+France,4.8,1000.0,2025-08-19 23:02:46Z,2025-08-19 23:02:46Z
France,Provence-Alpes-Côte d'Azur,Marseille (Pointe Rouge),Aquadomia,https://www.aquadomia.com,contact@aquadomia.com,"Base DUNE Marseille, 7 Port de la Pointe Rouge, 13008 Marseille, France",+33 4 13 33 38 00,Training center; explicitly scuba,,203.0,https://www.tripadvisor.co.nz/ShowUserReviews-g187253-d6600573-r224874387-Aquadomia-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=Aquadomia+Marseille+%28Pointe+Rouge%29+France,,,,2025-08-19 22:43:52Z
France,Provence-Alpes-Côte d'Azur,Marseille (Pointe Rouge),Atoll Plongée (Marseille Plongée),https://www.atollplongee.com,marseilleplongee@gmail.com,"31 Traverse Prat, 13008 Marseille, France",+33 4 91 72 18 14,Centre; explicitly scuba,,,https://fr.tripadvisor.be/Attraction_Review-g187253-d4884380-Reviews-Atoll_Plongee-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=Atoll+Plong%C3%A9e+%28Marseille+Plong%C3%A9e%29+Marseille+%28Pointe+Rouge%29+France,,,,2025-08-19 23:02:46Z
France,Provence-Alpes-Côte d'Azur,Marseille (Pointe Rouge),L’Atelier de la Mer,https://atelierdelamer.com,info@atelierdelamer.com,"Port de la Pointe Rouge – Entrée n°2, 13008 Marseille, France",+33 4 91 72 54 12,Centre & shop; explicitly scuba (PADI/SSI/FFESSM),,,https://www.tripadvisor.fr/Attraction_Review-g187253-d10464797-Reviews-L_Atelier_de_la_Mer_Centre_de_Plongee-Marseille_Bouches_du_Rhone_Provence_Alpes_.html,https://www.google.com/maps/search/?api=1&query=L%E2%80%99Atelier+de+la+Mer+Marseille+%28Pointe+Rouge%29+France,,,,2025-08-19 22:14:50Z
France,Provence-Alpes-Côte d'Azur,Nice,CIP Nice,https://www.cip-nice.com,info@cip-nice.com,"2 Ruelle des Moulins, 06000 Nice, France",+33 4 93 55 59 50,Centre International de Plongée; explicitly scuba,,236.0,https://www.tripadvisor.ie/LocationPhotoDirectLink-g187234-d4567167-i175162116-C_I_P_de_Nice_Centre_International_de_Plongee-Nice_French_Riviera_Cote_d.html,https://www.google.com/maps/search/?api=1&query=CIP+Nice+Nice+France,,,,2025-08-19 22:43:52Z
France,Provence-Alpes-Côte d'Azur,Nice,Le Poséidon - Centre École de Plongée & Snorkeling,https://poseidon-nice.com,tlo@poseidon-nice.com,"Quai Lunel / Quai A. Infernet, Port de Nice, 06300 Nice",,"Scuba center; baptême, exploration, PADI/FFESSM courses",,,https://www.tripadvisor.ie/Attraction_Review-g187234-d4295985-Reviews-Poseidon-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=Le+Pos%C3%A9idon+-+Centre+%C3%89cole+de+Plong%C3%A9e+%26+Snorkeling+Nice+France,,,,2025-08-19 23:02:46Z
France,Provence-Alpes-Côte d'Azur,Nice,Nice Diving,https://www.nicediving.com,nicediving@gmail.com,"13 Quai des Deux Emmanuels, 06300 Nice, France",+33 6 14 46 04 06,SSI/PADI center; explicitly lists scuba diving,4.4,,https://www.tripadvisor.fr/Attraction_Review-g187234-d6726220-Reviews-Nice_Diving-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=Nice+Diving+Nice+France,,,,2025-08-19 22:47:50Z
France,Provence-Alpes-Côte d'Azur,Saint-Raphaël (Var),Club Sous l’Eau,https://clubsousleau.fr,contact@clubsousleau.fr,"Port Santa Lucia, 83700 Saint-Raphaël",,Scuba diving center & school; exploration & courses,4.6,55.0,https://www.tripadvisor.com/Search?q=Club+Sous+l%E2%80%99Eau+Saint-Rapha%C3%ABl+%28Var%29+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=Club+Sous+l%E2%80%99Eau+Saint-Rapha%C3%ABl+%28Var%29+France,,,,2025-08-19 22:27:03Z
France,Provence-Alpes-Côte d'Azur,Saint-Raphaël (Var),Euro Plongée,https://europlongee.fr,contact@europlongee.fr,"2170 Route de la Corniche, 83700 Saint-Raphaël",,Scuba center; beginners to advanced; boat dives,,,https://www.tripadvisor.fr/Attraction_Review-g187241-d14967321-Reviews-Euro_Plongee-Saint_Raphael_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=Euro+Plong%C3%A9e+Saint-Rapha%C3%ABl+%28Var%29+France,,,,2025-08-19 23:02:46Z
France,Provence-Alpes-Côte d'Azur,Sanary-sur-Mer (Var),Sanary Plongée,https://sanaryplongee.com,contact@sanary-plongee.com,"2 Quai Wilson, 83110 Sanary-sur-Mer",,Scuba center; PADI/ANMP; baptêmes & training,4.5,71.0,https://www.tripadvisor.co.uk/LocationPhotoDirectLink-g651751-d7810150-i126557480-Sanary_Plongee-Sanary_sur_Mer_Var_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=Sanary+Plong%C3%A9e+Sanary-sur-Mer+%28Var%29+France,,,,2025-08-19 22:27:03Z
France,Provence-Alpes-Côte d'Azur,Toulon,Toulon Plongée,https://www.toulonplongee.com,toulonplongee@gmail.com,"125 Quai des Sous-mariniers, 83000 Toulon, France",+33 6 34 67 54 70,Centre de plongée; explicitly scuba,4.9,17.0,https://www.tripadvisor.fr/Attraction_Review-g187257-d7007873-Reviews-Toulon_Plongee-Toulon_Var_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=Toulon+Plong%C3%A9e+Toulon+France,,,,2025-08-19 22:11:25
