Dive Shop,Address,Website,City,State,Country,Region,Phone Number,Email,Dive Courses,Rental Gear,Gases,Type,Dive Sites,Helper,Notes,
Cabo Private Guide,"Plaza Nautica, Blvd. Paseo de la Marina 1, Centro, Marina, 23450 Cabo San Lucas, B.C.S., Mexico",https://caboprivateguide.com/,Cabo San Lucas,Baja California Sur,Mexico,North America,+52 624 160 9925, info@caboprivateguide.com ,"Open Water Diver, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel",,Dive Shop,"Cabo Pulmo, Cabo Pulmo National Park, Cabo San Lucas Marine Reserve, Isla Cerralvo, La Paz",,,
Cabo Pulmo Beach Resort,"Camino Cabo Este, 23574 Cabo Pulmo, B.C.S., Mexico",https://www.cabopulmo.com/,Cabo Pulmo,Baja California Sur,Mexico,North America,1 16312 0, info@cabopulmo.com ,"Open Water Diver, Scuba Diver, Advanced Open Water Diver, Advanced Scuba Diver, Rescue Diver, Enriched Air Nitrox, Divemaster, Divemaster / Assistant Instructor, Discover Scuba Diving, Junior Open Water Diver, Try Scuba / Intro Scuba","Wetsuit, Regulator, Fins, Mask, BCD, Drysuit, Hood, Boots, Snorkel, Dive Computer","Nitrox, Trimix","Dive Resort, Dive Shop","El Vencedor Wreck, Elcantil, La Esperanza, El Islote, Outer Pulmo Cabo Reef, Lascasitas, Mermaid Beach, Lalobera, Losmorros, Elbajo",,,
Cabo Pulmo Diving,"RaMal a Cabo Pulmo, 23574 Cabo Pulmo, B.C.S., Mexico",https://cabopulmodiving.com/,Cabo Pulmo,Baja California Sur,Mexico,North America, +52 612 288 3890 , henri@cabopulmodiving.com ,"Scuba Diver, Discover Scuba Diving, Open Water Diver, Advanced Open Water Diver, Rescue Diver, Junior Open Water Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Marine Ecology, Divemaster, Divemaster / Assistant Instructor, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director","BCD, Regulator, Snorkel","Hydrox, Nitrox",Dive Shop,"Cabo Pulmo, Cabo Pulmo National Park, El Bajo Seamount, El Islote, Los Islotes (Sea Lions), Los Morros, Sea of Cortez, Turks & Caicos, El Cantil, Mario's Reef, La Esperaza",,,
Cabo Pulmo Sport Center,"Acceso principal a la playa, 23570 Cabo Pulmo, B.C.S., Mexico",https://www.cabopulmosportcenter.com/,Cabo Pulmo,Baja California Sur,Mexico,North America,+52 624 157 9795, cabopulmosportcenter@gmail.com ,,,,Dive Shop,,,Only offers snorkeling,
Caen-Ouistreham Plongée,"Av. Albert Sorel, 14000 Caen, France",http://www.caen-ouistreham-plongee.org/,Ouistreham,Normandy,France,Europe, +33 2 31 50 10 25 , infos@caen-ouistreham-plongee.org ,"Open Water Diver, Open Water Scuba Diver, Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Introductory Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Stress & Rescue Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Divemaster / Assistant Instructor, Open Water Scuba Instructor","Wetsuit, BCD, Regulator",Nitrox,Dive Shop,Baie de Seine,,Weird and Vague,
Caicos Adventures,"Providenciales, Turks & Caicos TKCA 1ZZ",https://www.caicosadventures.com/,Turks & Caicos,Islands,Turks and Caicos Islands,Caribbean, +1 649-941-3346 , divucrzy@tciway.tc ,"Open Water Diver, Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Introductory Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster",Drysuit,Nitrox,Dive Shop,"Grace Bay, Grace Bay Reef, Turks & Caicos",,,
Calico Jack Liveaboard,Jalan Lebak Bulus 1 N 39,https://www.calicojackcharters.com/,,,Indonesia,Southeast Asia,+62 813-3932-5544, calicojackbookings@gmail.com ,"Open Water Diver, Open Water Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Deep Diver, Night Diver, Underwater Navigator, Divemaster","Tanks, Regulator, BCD, Wetsuit, Flashlight, Dive Computer, Fins, Mask",Nitrox,Liveaboard,"Komodo, Raja Ampat, Cenderawasih Bay, Banda Sea",,***,
California Scuba Center,"510 Shaw Ave, Clovis, CA 93612",https://www.cascubacenter.com/,Clovis,California,United States,North America, +1 559-512-8727 , info@cascubacenter.com ,"Discover Scuba Diving, Try Scuba / Intro Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver","Wetsuit, Regulator, Drysuit, Dive Computer, Mask, Fins, BCD, Snorkel",,Dive Shop,"Destination Diving, North Bali, Saba Coral Nursery, South Bali, Sulawesi",,,
Camel Dive Club & Hotel,"Centre of Na'ama Bay, Sharm El Sheikh, South Sinai, Egypt",https://www.cameldive.com/,Naama Bay,South Sinai,Egypt,Northern Africa, +20 69 3600700 , info@cameldive.com ,"Try Scuba / Intro Scuba, Open Water Diver, Scuba Diver, Wreck Diver, Advanced Adventurer, Stress & Rescue Diver, Deep Diver, Enriched Air Nitrox, Divemaster, Discover Scuba Diving, Introductory Scuba","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,"Dive Shop, Dive Resort","Ras Ghozlani, Marsa Bareika, Ras Zaatar, Jackfish Alley, Eel Garden, Shark Observatory, Anemone City, Shark Reef, Yolanda Reef and Wreck, Ras Nasrani, Ras Ghamila, Gordon Reef, Thomas Reef, Woodhouse Reef, Laguna Reef, Jackson Reef, Ras Katy, Temple, Ras Umm Sid, Paradise, Turtle Bay, Amphoras, Pinky’s Wall, Tower, Near Garden, Middle Garden, Far Garden, Eagle Ray Bay, Sharks Bay, White Knight, Ras Bob, Dunraven, Thistlegorm, Kormoran, Million Hope, Canyon, Blue Hole",,,
Cancun Diving Adventures,"Centro across from Javi's Cantina, Av Juárez 13, Centro, 77400 Isla Mujeres, Quintana Roo, Mexico",https://www.cancundivingadventures.com/,Cancún,Quintana Roo,Mexico,North America, +1 352-825-8040 , info@cancundivingadventures.com ,,,Nitrox,Dive Shop,"C-55 Mine Sweeper Shipwreck, Cancun, Cozumel, Isla Mujeres, MUSA Underwater Museum, Riviera Maya Cenotes, Yucab Reef (Cozumel)",,,
Cancun Scuba Center,"Quetzal 77510, Punta Cancun, Zona Hotelera, 77500 Cancún, Quintana Roo, Mexico",https://cancunscubacenter.com/,Cancún,Quintana Roo,Mexico,North America, +52 998 845 0977 , operations@cancunscubacenter.com ,"Open Water Diver, Open Water Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Divemaster, Wreck Diver, Deep Diver","Wetsuit, Regulator, Fins, Mask, BCD, Boots, Snorkel",Nitrox,Dive Shop,"Punta Negra, La Herradura, El Túnel, Chintales, La Boya de los Locos, Cañonero C-58, El Grampin, Cueva de los Tiburones Dormidos, Manchones Grande, Bandera, Santo Remedio, Aristos, El Meco, La Iglesia, San Toribio, Las Cuevas de Afuera, Cuevones, Punta Sur, MUSA (Underwater museum), Manchones Chico, Ultra Freeze, San Martín, El Bajito, Ginas",,,
Cane Bay Dive Shop,"2 Strand Street, Frederiksted, VI 00840",https://canebayscuba.com,St. Croix,St. Croix,U.S. Virgin Islands,Caribbean, +1 340-718-9913 , info@canebayscuba.com ,"Open Water Diver, Enriched Air Nitrox, Advanced Adventurer, Rescue Diver, Discover Scuba Diving, Dry Suit Diver, Advanced Open Water Diver, Divemaster","Wetsuit, Regulator, Gloves, BCD, Drysuit, Hood, Fins, Mask, Snorkel, Boots",Nitrox,Dive Shop,"Butler Bay, Butler Bay Deep Wrecks, Butler Bay Shallow Wrecks, The Frederiksted Pier, St. Croix Wall, St. Croix",,,
Cap Cerbère,"Route d'Espagne, 66290 Cerbère, France",https://www.plongee-cap-cerbere.com,Cerbère,Pyrénées-Orientales,France,Europe,+33 4.68.88.41.00, capcerbere@gmail.com ,"Open Water Diver, Advanced Adventurer, Advanced Open Water Diver, Wreck Diver, Deep Diver, Enriched Air Nitrox, Night Diver, Underwater Navigator, Dry Suit Diver, Marine Ecology, Divemaster, Divemaster / Assistant Instructor, Open Water Scuba Instructor, Try Scuba / Intro Scuba","BCD, Drysuit, Mask, Regulator",Nitrox,Dive Shop,"The Pyrenees, the Cerbère-Banyuls marine reserve, the Canadells, Cerbère capes, Cape Falco, Cape l'Ocell, Cape Creus, Catalan Mediterranean seabed",,,
CAP Trébeurden,"54 Corniche de Goas Treiz, 22560 Trébeurden",https://cap-trebeurden.com,Trébeurden,Côtes-d'Armor,France,Europe,+33 2 96 23 66 71, infocap@cap-trebeurden.com ,"Open Water Diver, Discover Scuba Diving, Advanced Open Water Diver, Rescue Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster","Wetsuit, Regulator, BCD, Hood, Mask, Drysuit",Nitrox,Dive Shop,"Anse De Millau, Ar Goredec, Grotte A Tacauds, Cale De Millau, Anse Des Pirates, Roche Aux Serpents, La Grange, Basse Anamer, Le Pic Nord, Les Peignes, Le Four, Plateau Des Triagoz, Bar Ar Gall, Ar Veskleg, Molène Quest, Dialette Sud, Dialette Nord",,,
Capo Galera Diving Center,"Loc. Capo Galera, 07041 Alghero, Italy",https://www.capogalera.com/,Alghero,Sassari,Italy,Europe, +39 347 700 0052 , capogalera@capogalera.com ,"Open Water Diver, Scuba Diver, Open Water Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Introductory Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Open Water 20, Deep Diver, Enriched Air Nitrox, Night Diver, Wreck Diver, Underwater Navigator, Divemaster, Advanced Nitrox, Trimix Diver","Snorkel, Regulator, BCD, Fins, Wetsuit, Mask",Nitrox,Dive Shop,"Grotta delle Spigole, Grotta di Falco, Grotta delle Stalattiti, Grotta dei Fantasmi, Grotta dei Cervi, Grotta del Pozzo, La Bramassa, Grotta della Madonnina, Le Gorgonie, Grotta di Nereo, Il Canyon delle Gorgonie, Il Tunnel, Grotta del Cabirol, Punta Timone, Dolmen, Il Porticato, Scoglio d’Inferno, Belvedere, Cala Puntetta, Cala Barca, Grotta della Luce",,,
Captain Hook's Dive Center,"11833 Overseas Hwy, Marathon, FL 33050",https://captainhooks.com/,Marathon,Florida,United States,North America,+1 305-743-2444, bookhooks@captainhooks.com ,Medical Training In Austere Conditions,"Wetsuit, Regulator, Fins, Mask, BCD, Dive Computer, Snorkel, Boots",Nitrox,Dive Shop,"Adolphus Busch Sr., Bloody Bay Wall, Cayman Salvage, Fiji Islands, Jackson’s Bight, Little Cayman Beach, Looe Key, Maldives, Thunderbolt, USNS General Hoyt S. Vandenberg",,,
Captain Mike Diving Services,"530 City Island Ave, Bronx, NY 10464, United States",https://www.captainmikesdiving.com/,Riverhead,New York,United States,North America,+1 (718) 885-1588, mike@captainmikesdiving.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Wreck Diver, Night Diver, Underwater Navigator, Divemaster, Open Water Scuba Instructor, Master Scuba Diver Trainer, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Dive Shop,,,Site offers Certs and Equipment Services ,
Captain Slate's Scuba Adventures,"90791 Old Hwy, Tavernier, FL 33070, United States",https://captainslate.com/,Key Largo,Florida,United States,North America,+1 305-451-3020, captainslate@captainslate.com ,,"Snorkel, Mask, Fins",,Dive Shop,"Eagle Wreck, USCGC Duane, USS Spiegel Grove",,,
Captain Corner Dive Center,"125 Ann St, Key West, FL 33040, United States",https://www.captainscorner.com/,Key West,Florida,United States,North America,+1 305-296-8865, info@captainscorner.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Night Diver, Divemaster, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Mask, BCD, Snorkel",,Dive Shop,"Cayman Salvage, Florida Keys, USNS General Hoyt S. Vandenberg",,,
Explorer Ventures Diving Fleet,"Explorer Ventures, PO Box 310, Mills, WY 82644, USA",https://www.explorerventures.com/,Saba,Caribbean Netherlands,Saba,Caribbean,+1 307-235-0683, info@explorerventures.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Open Water 20, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Liveaboard,"Abu Nuhas / Carnatic, Abu Nuhas / Chrisoula K, Abu Nuhas / Giannis D, Addu, Addu Kandu, Alor, Banda Sea, Blue Corner, Blue Holes, Brothers Islands, Chandelier Cave, Daedalus Reef, Dahab, Dhigurah Beyru, Dhonfanu Thila, East of Flores, Elphinstone, Fotteyo Kandu, French Cay, Fury Shoals - Abu Galawa Soraya, Fury Shoals - Malahi, Fury Shoals - Sataya, Fury Shoals - Sha’ab Claudio, Fuvahmulah, Fuvahmulah Atoll, Galapagos Islands, German, Grand Turk, Halmahera, Hanifaru, Hanifaru Bay, Huvadhoo, Huvhadoo, Kakaban Jellyfish Lake, Kandooma Thila, Komodo, Kudarah Thila, Kuredu Express, Maaya Thila, Maratua, Misool, Miyaru Kandu, Mulaku Kandu, Ngemelis Drop-Off, Palau, Peleliu Express, Raja Ampat, Ras Mohammed with Yolanda Reef, Rocky Island, SS Thistlegorm, Saba Coral Nursery, Sangalaki Manta Point, Siaes Tunnel, Sint Eustatius, South Caicos, St. John’s, St. Kitts, St. Maarten, Straits of Tiran - Gordon, Straits of Tiran - Jackson, Straits of Tiran - Thomas, Straits of Tiran - Woodhouse, Sulawesi, Triton Bay, Turtle Cove, Ulong, West Sand Spit, Zabargad Island, Dhonfanu Thila, Mulaku Kandu",,This one has Liveaboards around the world. Need to modify locations.,
Explorer Ventures Diving Fleet,"Explorer Ventures, PO Box 310, Mills, WY 82644, USA",https://www.explorerventures.com/,St. Kitts,Saint George Basseterre,Saint Kitts and Nevis,Caribbean,+1 307-235-0683, info@explorerventures.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Open Water 20, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Liveaboard,"Abu Nuhas / Carnatic, Abu Nuhas / Chrisoula K, Abu Nuhas / Giannis D, Addu, Addu Kandu, Alor, Banda Sea, Blue Corner, Blue Holes, Brothers Islands, Chandelier Cave, Daedalus Reef, Dahab, Dhigurah Beyru, Dhonfanu Thila, East of Flores, Elphinstone, Fotteyo Kandu, French Cay, Fury Shoals - Abu Galawa Soraya, Fury Shoals - Malahi, Fury Shoals - Sataya, Fury Shoals - Sha’ab Claudio, Fuvahmulah, Fuvahmulah Atoll, Galapagos Islands, German, Grand Turk, Halmahera, Hanifaru, Hanifaru Bay, Huvadhoo, Huvhadoo, Kakaban Jellyfish Lake, Kandooma Thila, Komodo, Kudarah Thila, Kuredu Express, Maaya Thila, Maratua, Misool, Miyaru Kandu, Mulaku Kandu, Ngemelis Drop-Off, Palau, Peleliu Express, Raja Ampat, Ras Mohammed with Yolanda Reef, Rocky Island, SS Thistlegorm, Saba Coral Nursery, Sangalaki Manta Point, Siaes Tunnel, Sint Eustatius, South Caicos, St. John’s, St. Kitts, St. Maarten, Straits of Tiran - Gordon, Straits of Tiran - Jackson, Straits of Tiran - Thomas, Straits of Tiran - Woodhouse, Sulawesi, Triton Bay, Turtle Cove, Ulong, West Sand Spit, Zabargad Island, Dhonfanu Thila, Mulaku Kandu",,,
Explorer Ventures Diving Fleet,"Explorer Ventures, PO Box 310, Mills, WY 82644, USA",https://www.explorerventures.com/,Turks & Caicos,Providenciales,Turks and Caicos Islands,Caribbean,+1 307-235-0683, info@explorerventures.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Open Water 20, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Liveaboard,"Abu Nuhas / Carnatic, Abu Nuhas / Chrisoula K, Abu Nuhas / Giannis D, Addu, Addu Kandu, Alor, Banda Sea, Blue Corner, Blue Holes, Brothers Islands, Chandelier Cave, Daedalus Reef, Dahab, Dhigurah Beyru, Dhonfanu Thila, East of Flores, Elphinstone, Fotteyo Kandu, French Cay, Fury Shoals - Abu Galawa Soraya, Fury Shoals - Malahi, Fury Shoals - Sataya, Fury Shoals - Sha’ab Claudio, Fuvahmulah, Fuvahmulah Atoll, Galapagos Islands, German, Grand Turk, Halmahera, Hanifaru, Hanifaru Bay, Huvadhoo, Huvhadoo, Kakaban Jellyfish Lake, Kandooma Thila, Komodo, Kudarah Thila, Kuredu Express, Maaya Thila, Maratua, Misool, Miyaru Kandu, Mulaku Kandu, Ngemelis Drop-Off, Palau, Peleliu Express, Raja Ampat, Ras Mohammed with Yolanda Reef, Rocky Island, SS Thistlegorm, Saba Coral Nursery, Sangalaki Manta Point, Siaes Tunnel, Sint Eustatius, South Caicos, St. John’s, St. Kitts, St. Maarten, Straits of Tiran - Gordon, Straits of Tiran - Jackson, Straits of Tiran - Thomas, Straits of Tiran - Woodhouse, Sulawesi, Triton Bay, Turtle Cove, Ulong, West Sand Spit, Zabargad Island, Dhonfanu Thila, Mulaku Kandu",,,
Explorer Ventures Diving Fleet,"Explorer Ventures, PO Box 310, Mills, WY 82644, USA",https://www.explorerventures.com/,Palau,Koror,Micronesia,Pacific Islands,+1 307-235-0683, info@explorerventures.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Open Water 20, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Liveaboard,"Abu Nuhas / Carnatic, Abu Nuhas / Chrisoula K, Abu Nuhas / Giannis D, Addu, Addu Kandu, Alor, Banda Sea, Blue Corner, Blue Holes, Brothers Islands, Chandelier Cave, Daedalus Reef, Dahab, Dhigurah Beyru, Dhonfanu Thila, East of Flores, Elphinstone, Fotteyo Kandu, French Cay, Fury Shoals - Abu Galawa Soraya, Fury Shoals - Malahi, Fury Shoals - Sataya, Fury Shoals - Sha’ab Claudio, Fuvahmulah, Fuvahmulah Atoll, Galapagos Islands, German, Grand Turk, Halmahera, Hanifaru, Hanifaru Bay, Huvadhoo, Huvhadoo, Kakaban Jellyfish Lake, Kandooma Thila, Komodo, Kudarah Thila, Kuredu Express, Maaya Thila, Maratua, Misool, Miyaru Kandu, Mulaku Kandu, Ngemelis Drop-Off, Palau, Peleliu Express, Raja Ampat, Ras Mohammed with Yolanda Reef, Rocky Island, SS Thistlegorm, Saba Coral Nursery, Sangalaki Manta Point, Siaes Tunnel, Sint Eustatius, South Caicos, St. John’s, St. Kitts, St. Maarten, Straits of Tiran - Gordon, Straits of Tiran - Jackson, Straits of Tiran - Thomas, Straits of Tiran - Woodhouse, Sulawesi, Triton Bay, Turtle Cove, Ulong, West Sand Spit, Zabargad Island, Dhonfanu Thila, Mulaku Kandu",,,
Explorer Ventures Diving Fleet,"Explorer Ventures, PO Box 310, Mills, WY 82644, USA",https://www.explorerventures.com/,Galapagos,Galapagos Province,Ecuador,South America,+1 307-235-0683, info@explorerventures.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Open Water 20, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Liveaboard,"Abu Nuhas / Carnatic, Abu Nuhas / Chrisoula K, Abu Nuhas / Giannis D, Addu, Addu Kandu, Alor, Banda Sea, Blue Corner, Blue Holes, Brothers Islands, Chandelier Cave, Daedalus Reef, Dahab, Dhigurah Beyru, Dhonfanu Thila, East of Flores, Elphinstone, Fotteyo Kandu, French Cay, Fury Shoals - Abu Galawa Soraya, Fury Shoals - Malahi, Fury Shoals - Sataya, Fury Shoals - Sha’ab Claudio, Fuvahmulah, Fuvahmulah Atoll, Galapagos Islands, German, Grand Turk, Halmahera, Hanifaru, Hanifaru Bay, Huvadhoo, Huvhadoo, Kakaban Jellyfish Lake, Kandooma Thila, Komodo, Kudarah Thila, Kuredu Express, Maaya Thila, Maratua, Misool, Miyaru Kandu, Mulaku Kandu, Ngemelis Drop-Off, Palau, Peleliu Express, Raja Ampat, Ras Mohammed with Yolanda Reef, Rocky Island, SS Thistlegorm, Saba Coral Nursery, Sangalaki Manta Point, Siaes Tunnel, Sint Eustatius, South Caicos, St. John’s, St. Kitts, St. Maarten, Straits of Tiran - Gordon, Straits of Tiran - Jackson, Straits of Tiran - Thomas, Straits of Tiran - Woodhouse, Sulawesi, Triton Bay, Turtle Cove, Ulong, West Sand Spit, Zabargad Island, Dhonfanu Thila, Mulaku Kandu",,,
Explorer Ventures Diving Fleet,"Explorer Ventures, PO Box 310, Mills, WY 82644, USA",https://www.explorerventures.com/,Maldives,Kaafu Atoll,Maldives,South Asia,+1 307-235-0683, info@explorerventures.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Open Water 20, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Liveaboard,"Abu Nuhas / Carnatic, Abu Nuhas / Chrisoula K, Abu Nuhas / Giannis D, Addu, Addu Kandu, Alor, Banda Sea, Blue Corner, Blue Holes, Brothers Islands, Chandelier Cave, Daedalus Reef, Dahab, Dhigurah Beyru, Dhonfanu Thila, East of Flores, Elphinstone, Fotteyo Kandu, French Cay, Fury Shoals - Abu Galawa Soraya, Fury Shoals - Malahi, Fury Shoals - Sataya, Fury Shoals - Sha’ab Claudio, Fuvahmulah, Fuvahmulah Atoll, Galapagos Islands, German, Grand Turk, Halmahera, Hanifaru, Hanifaru Bay, Huvadhoo, Huvhadoo, Kakaban Jellyfish Lake, Kandooma Thila, Komodo, Kudarah Thila, Kuredu Express, Maaya Thila, Maratua, Misool, Miyaru Kandu, Mulaku Kandu, Ngemelis Drop-Off, Palau, Peleliu Express, Raja Ampat, Ras Mohammed with Yolanda Reef, Rocky Island, SS Thistlegorm, Saba Coral Nursery, Sangalaki Manta Point, Siaes Tunnel, Sint Eustatius, South Caicos, St. John’s, St. Kitts, St. Maarten, Straits of Tiran - Gordon, Straits of Tiran - Jackson, Straits of Tiran - Thomas, Straits of Tiran - Woodhouse, Sulawesi, Triton Bay, Turtle Cove, Ulong, West Sand Spit, Zabargad Island, Dhonfanu Thila, Mulaku Kandu",,,
Explorer Ventures Diving Fleet,"Explorer Ventures, PO Box 310, Mills, WY 82644, USA",https://www.explorerventures.com/,Red Sea,South Sinai,Egypt,Northern Africa,+1 307-235-0683, info@explorerventures.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Open Water 20, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Liveaboard,"Abu Nuhas / Carnatic, Abu Nuhas / Chrisoula K, Abu Nuhas / Giannis D, Addu, Addu Kandu, Alor, Banda Sea, Blue Corner, Blue Holes, Brothers Islands, Chandelier Cave, Daedalus Reef, Dahab, Dhigurah Beyru, Dhonfanu Thila, East of Flores, Elphinstone, Fotteyo Kandu, French Cay, Fury Shoals - Abu Galawa Soraya, Fury Shoals - Malahi, Fury Shoals - Sataya, Fury Shoals - Sha’ab Claudio, Fuvahmulah, Fuvahmulah Atoll, Galapagos Islands, German, Grand Turk, Halmahera, Hanifaru, Hanifaru Bay, Huvadhoo, Huvhadoo, Kakaban Jellyfish Lake, Kandooma Thila, Komodo, Kudarah Thila, Kuredu Express, Maaya Thila, Maratua, Misool, Miyaru Kandu, Mulaku Kandu, Ngemelis Drop-Off, Palau, Peleliu Express, Raja Ampat, Ras Mohammed with Yolanda Reef, Rocky Island, SS Thistlegorm, Saba Coral Nursery, Sangalaki Manta Point, Siaes Tunnel, Sint Eustatius, South Caicos, St. John’s, St. Kitts, St. Maarten, Straits of Tiran - Gordon, Straits of Tiran - Jackson, Straits of Tiran - Thomas, Straits of Tiran - Woodhouse, Sulawesi, Triton Bay, Turtle Cove, Ulong, West Sand Spit, Zabargad Island, Dhonfanu Thila, Mulaku Kandu",,,
Explorer Ventures Diving Fleet,"Explorer Ventures, PO Box 310, Mills, WY 82644, USA",https://www.explorerventures.com/,Indonesia,Bali,Indonesia,Southeast Asia,+1 307-235-0683, info@explorerventures.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Open Water 20, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director, Discover Scuba Diving, Junior Open Water Diver","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Liveaboard,"Abu Nuhas / Carnatic, Abu Nuhas / Chrisoula K, Abu Nuhas / Giannis D, Addu, Addu Kandu, Alor, Banda Sea, Blue Corner, Blue Holes, Brothers Islands, Chandelier Cave, Daedalus Reef, Dahab, Dhigurah Beyru, Dhonfanu Thila, East of Flores, Elphinstone, Fotteyo Kandu, French Cay, Fury Shoals - Abu Galawa Soraya, Fury Shoals - Malahi, Fury Shoals - Sataya, Fury Shoals - Sha’ab Claudio, Fuvahmulah, Fuvahmulah Atoll, Galapagos Islands, German, Grand Turk, Halmahera, Hanifaru, Hanifaru Bay, Huvadhoo, Huvhadoo, Kakaban Jellyfish Lake, Kandooma Thila, Komodo, Kudarah Thila, Kuredu Express, Maaya Thila, Maratua, Misool, Miyaru Kandu, Mulaku Kandu, Ngemelis Drop-Off, Palau, Peleliu Express, Raja Ampat, Ras Mohammed with Yolanda Reef, Rocky Island, SS Thistlegorm, Saba Coral Nursery, Sangalaki Manta Point, Siaes Tunnel, Sint Eustatius, South Caicos, St. John’s, St. Kitts, St. Maarten, Straits of Tiran - Gordon, Straits of Tiran - Jackson, Straits of Tiran - Thomas, Straits of Tiran - Woodhouse, Sulawesi, Triton Bay, Turtle Cove, Ulong, West Sand Spit, Zabargad Island, Dhonfanu Thila, Mulaku Kandu",,,
